src,dst,src_name,dst_name,start_I,finish_I,duration_intervals,pred,path_nodes
0,1,VANGUARD 2,VANGUARD 3,,,,,
0,2,VANGUARD 2,EXPLORER 7,,,,,
0,3,VANGUARD 2,TIROS 1,,,,,
0,4,VANGUARD 2,TRANSIT 2A,,,,,
0,5,VANGUARD 2,SOLRAD 1 (GREB),,,,,
0,6,VANGUARD 2,COURIER 1B,,,,,
0,7,VANGUARD 2,EXPLORER 11,,,,,
0,8,VANGUARD 2,TRANSIT 4A,,,,,
0,9,VANGUARD 2,SOLRAD 3/INJUN 1,,,,,
1,0,VANGUARD 3,VANGUARD 2,,,,,
1,2,VANGUARD 3,EXPLORER 7,,,,,
1,3,VANGUARD 3,TIROS 1,,,,,
1,4,VANGUARD 3,TRANSIT 2A,,,,,
1,5,VANGUARD 3,SOLRAD 1 (GREB),,,,,
1,6,VANGUARD 3,COURIER 1B,,,,,
1,7,VANGUARD 3,EXPLORER 11,,,,,
1,8,VANGUARD 3,TRANSIT 4A,,,,,
1,9,VANGUARD 3,SOLRAD 3/INJUN 1,,,,,
2,0,EXPLORER 7,VANGUARD 2,,,,,
2,1,EXPLORER 7,VANGUARD 3,,,,,
2,3,EXPLORER 7,TIROS 1,,,,,
2,4,EXPLORER 7,TRANSIT 2A,,,,,
2,5,EXPLORER 7,SOLRAD 1 (GREB),,,,,
2,6,EXPLORER 7,COURIER 1B,,,,,
2,7,EXPLORER 7,EXPLORER 11,,,,,
2,8,EXPLORER 7,TRANSIT 4A,,,,,
2,9,EXPLORER 7,SOLRAD 3/INJUN 1,,,,,
3,0,TIROS 1,VANGUARD 2,,,,,
3,1,TIROS 1,VANGUARD 3,,,,,
3,2,TIROS 1,EXPLORER 7,,,,,
3,4,TIROS 1,TRANSIT 2A,,,,,
3,5,TIROS 1,SOLRAD 1 (GREB),,,,,
3,6,TIROS 1,COURIER 1B,,,,,
3,7,TIROS 1,EXPLORER 11,,,,,
3,8,TIROS 1,TRANSIT 4A,,,,,
3,9,TIROS 1,SOLRAD 3/INJUN 1,,,,,
4,0,TRANSIT 2A,VANGUARD 2,,,,,
4,1,TRANSIT 2A,VANGUARD 3,,,,,
4,2,TRANSIT 2A,EXPLORER 7,,,,,
4,3,TRANSIT 2A,TIROS 1,,,,,
4,5,TRANSIT 2A,SOLRAD 1 (GREB),,,,,
4,6,TRANSIT 2A,COURIER 1B,,,,,
4,7,TRANSIT 2A,EXPLORER 11,,,,,
4,8,TRANSIT 2A,TRANSIT 4A,,,,,
4,9,TRANSIT 2A,SOLRAD 3/INJUN 1,,,,,
5,0,SOLRAD 1 (GREB),VANGUARD 2,,,,,
5,1,SOLRAD 1 (GREB),VANGUARD 3,,,,,
5,2,SOLRAD 1 (GREB),EXPLORER 7,,,,,
5,3,SOLRAD 1 (GREB),TIROS 1,,,,,
5,4,SOLRAD 1 (GREB),TRANSIT 2A,,,,,
5,6,SOLRAD 1 (GREB),COURIER 1B,,,,,
5,7,SOLRAD 1 (GREB),EXPLORER 11,,,,,
5,8,SOLRAD 1 (GREB),TRANSIT 4A,,,,,
5,9,SOLRAD 1 (GREB),SOLRAD 3/INJUN 1,,,,,
6,0,COURIER 1B,VANGUARD 2,,,,,
6,1,COURIER 1B,VANGUARD 3,,,,,
6,2,COURIER 1B,EXPLORER 7,,,,,
6,3,COURIER 1B,TIROS 1,,,,,
6,4,COURIER 1B,TRANSIT 2A,,,,,
6,5,COURIER 1B,SOLRAD 1 (GREB),,,,,
6,7,COURIER 1B,EXPLORER 11,,,,,
6,8,COURIER 1B,TRANSIT 4A,,,,,
6,9,COURIER 1B,SOLRAD 3/INJUN 1,,,,,
7,0,EXPLORER 11,VANGUARD 2,,,,,
7,1,EXPLORER 11,VANGUARD 3,,,,,
7,2,EXPLORER 11,EXPLORER 7,,,,,
7,3,EXPLORER 11,TIROS 1,,,,,
7,4,EXPLORER 11,TRANSIT 2A,,,,,
7,5,EXPLORER 11,SOLRAD 1 (GREB),,,,,
7,6,EXPLORER 11,COURIER 1B,,,,,
7,8,EXPLORER 11,TRANSIT 4A,,,,,
7,9,EXPLORER 11,SOLRAD 3/INJUN 1,,,,,
8,0,TRANSIT 4A,VANGUARD 2,,,,,
8,1,TRANSIT 4A,VANGUARD 3,,,,,
8,2,TRANSIT 4A,EXPLORER 7,,,,,
8,3,TRANSIT 4A,TIROS 1,,,,,
8,4,TRANSIT 4A,TRANSIT 2A,,,,,
8,5,TRANSIT 4A,SOLRAD 1 (GREB),,,,,
8,6,TRANSIT 4A,COURIER 1B,,,,,
8,7,TRANSIT 4A,EXPLORER 11,,,,,
8,9,TRANSIT 4A,SOLRAD 3/INJUN 1,,,,,
9,0,SOLRAD 3/INJUN 1,VANGUARD 2,,,,,
9,1,SOLRAD 3/INJUN 1,VANGUARD 3,,,,,
9,2,SOLRAD 3/INJUN 1,EXPLORER 7,,,,,
9,3,SOLRAD 3/INJUN 1,TIROS 1,,,,,
9,4,SOLRAD 3/INJUN 1,TRANSIT 2A,,,,,
9,5,SOLRAD 3/INJUN 1,SOLRAD 1 (GREB),,,,,
9,6,SOLRAD 3/INJUN 1,COURIER 1B,,,,,
9,7,SOLRAD 3/INJUN 1,EXPLORER 11,,,,,
9,8,SOLRAD 3/INJUN 1,TRANSIT 4A,,,,,
